الدولة,الخام,السنوات,الانتاج,minerals,وحدة الإنتاج,المصدر
المملكة المغربية,الفضة,2022,246640,Silver (mine),كجم,BGS & IOCFWMC
المملكة المغربية,الفضة,2023,252310,Silver (mine),كجم,BGS & IOCFWMC
المملكة المغربية,الفضة,2024,243805,Silver (mine),كجم,BGS & IOCFWMC
جمهورية مصر العربية,الألمنيوم الأولي,2016,300,Primary Aluminium,ألف طن,BGS & IOFWMC
جمهورية مصر العربية,الألمنيوم الأولي,2018,320,Primary Aluminium,ألف طن,BGS & IOFWMC
جمهورية مصر العربية,الألمنيوم الأولي,2019,198,Primary Aluminium,ألف طن,BGS & IOFWMC
جمهورية مصر العربية,الألمنيوم الأولي,2020,219,Primary Aluminium,ألف طن,BGS & IOFWMC
جمهورية مصر العربية,الألمنيوم الأولي,2021,320,Primary Aluminium,ألف طن,BGS & IOFWMC
جمهورية مصر العربية,الألمنيوم الأولي,2022,320,Primary Aluminium,ألف طن,BGS & IOFWMC
جمهورية مصر العربية,الألمنيوم الأولي,2023,320,Primary Aluminium,ألف طن,BGS & IOFWMC
جمهورية مصر العربية,الألمنيوم الأولي,2024,320,Primary Aluminium,ألف طن,BGS & IOFWMC
المملكة الأردنية الهاشمية,الأسمدة,2010,759,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2011,722,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2012,640,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2013,678,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2014,886,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2015,619,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2016,547,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2017,695,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2018,882,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2019,748,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2020,929,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2021,1055,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2022,1993,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2023,1874,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
المملكة الأردنية الهاشمية,الأسمدة,2024,2057,Fertilizers,ألف طن,شركة مناجم الفوسفات الأردنية/ البنك المركزي الأردني / وزارة الطاقة  والثروة المعدنية
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2010,1400,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2011,1750,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2012,1814,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2013,1845,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2014,2296,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2015,2397,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2016,2471,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2017,2600,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2018,2640,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2019,2600,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2020,2640,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2021,2579,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2022,2505,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2023,2577.7,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
دولة الامارات العربية المتحدة,الألمنيوم الأولي,2024,2700,Primary Aluminium,ألف طن,BGS & USGS&التقرير الاقتصادي العربي الموحد
